4480,14
6317,2
3782,22
3835,22
12875,22
3782,3
37,3
7972,3
7972,21
7972,12
9833,2
9833,21
5137,21
6318,2
11361,2
11361,21
11426,2
11426,12
2622,2
11350,2
239,31
2996,21
4028,3
4364,4
4590,4
4694,3
6291,21
6478,1
6478,21
8151,16
9278,3
11349,2
12770,22
306,2
1741,22
3527,22
4734,22
6453,22
8395,2
8709,14
9269,22
9539,22
9561,22
9823,21
10799,21
12429,3
313,2
899,22
926,21
1087,22
1110,22
2219,3
4210,14
4219,21
4371,22
4422,2
4552,21
5140,13
5213,21
5348,3
5615,21
5634,21
5687,21
5774,21
6733,21
7264,3
7391,21
7967,21
8620,3
8667,21
8833,2
8840,2
8976,21
9395,13
9439,22
9725,22
9894,1
10063,1
10188,21
10209,12
102106,22
11465,2
11670,22
11998,2
349,1
349,12
351,21
351,1
351,12
503,22
514,22
628,2
652,3
652,22
655,21
655,14
